日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,换手率,成交量,成交金额,总市值,流通市值,涨跌额,涨跌幅,次日涨跌
2021/8/5,'000333,美的集团,69.9,71.61,69.09,69.45,69.99,0.6492,45338268,3201066026,4.93E+11,4.88E+11,-0.09,-0.1286,
2021/8/4,'000333,美的集团,69.99,71.68,69.73,70.4,70.92,0.6105,42636229,3000695827,4.94E+11,4.89E+11,-0.93,-1.3113,-0.1286
2021/8/3,'000333,美的集团,70.92,72.26,65.18,65.5,66.08,1.2886,89992768,6224743064,5.00E+11,4.95E+11,4.84,7.3245,-1.3113
2021/8/2,'000333,美的集团,66.08,66.66,62.58,63.5,63.51,0.7796,54445260,3553099532,4.66E+11,4.61E+11,2.57,4.0466,7.3245
2021/7/30,'000333,美的集团,63.51,64.08,61.96,63.09,63.3,0.6011,41977874,2648623981,4.48E+11,4.44E+11,0.21,0.3318,4.0466
2021/7/29,'000333,美的集团,63.3,64.5,62.63,64.5,63.28,0.5623,39271265,2485962571,4.46E+11,4.42E+11,0.02,0.0316,0.3318
2021/7/28,'000333,美的集团,63.28,63.8,61.11,61.4,61.4,0.6842,47782907,2994650504,4.46E+11,4.42E+11,1.88,3.0619,0.0316
2021/7/27,'000333,美的集团,61.4,64.98,61.4,64.67,64.68,0.8859,61869875,3893777294,4.33E+11,4.29E+11,-3.28,-5.0711,3.0619
2021/7/26,'000333,美的集团,64.68,66.07,63.87,65.58,66.96,0.8164,57012881,3709400702,4.56E+11,4.52E+11,-2.28,-3.405,-5.0711
2021/7/23,'000333,美的集团,66.96,68.88,66.51,68.3,68.3,0.6079,42451336,2851914804,4.72E+11,4.68E+11,-1.34,-1.9619,-3.405
2021/7/22,'000333,美的集团,68.3,69.89,66.98,67.99,67.99,0.6141,42883759,2952043816,4.82E+11,4.77E+11,0.31,0.4559,-1.9619
2021/7/21,'000333,美的集团,67.99,69.92,67.81,69.72,69.61,0.7377,51518657,3525935837,4.79E+11,4.75E+11,-1.62,-2.3273,0.4559
2021/7/20,'000333,美的集团,69.61,70.22,69.01,69.66,70.14,0.3307,23094780,1603201066,4.91E+11,4.86E+11,-0.53,-0.7556,-2.3273
2021/7/19,'000333,美的集团,70.14,70.3,68.6,69.79,69.7,0.438,30561168,2124892125,4.95E+11,4.89E+11,0.44,0.6313,-0.7556
2021/7/16,'000333,美的集团,69.7,71.3,68.8,71.3,71.17,0.654,45691025,3180537684,4.91E+11,4.87E+11,-1.47,-2.0655,0.6313
2021/7/15,'000333,美的集团,71.17,72.35,70.61,72,72,0.4576,31970243,2276242686,5.02E+11,4.97E+11,-0.83,-1.1528,-2.0655
2021/7/14,'000333,美的集团,72,72.8,71.56,72.45,72.8,0.4782,33405515,2405155835,5.08E+11,5.03E+11,-0.8,-1.0989,-1.1528
2021/7/13,'000333,美的集团,72.8,73.33,70.58,70.78,70.7,0.6793,47453241,3430086441,5.13E+11,5.09E+11,2.1,2.9703,-1.0989
2021/7/12,'000333,美的集团,70.7,71.5,68.92,69.64,69.2,0.5802,40495549,2860148826,4.98E+11,4.93E+11,1.5,2.1676,2.9703
2021/7/9,'000333,美的集团,69.2,70.58,68.71,69.55,70,0.4167,29079830,2016604915,4.88E+11,4.83E+11,-0.8,-1.1429,2.1676
2021/7/8,'000333,美的集团,70,70.79,68.86,70,70.39,0.5155,35977037,2508845301,4.93E+11,4.89E+11,-0.39,-0.5541,-1.1429
2021/7/7,'000333,美的集团,70.39,71.95,68.61,68.95,68.61,0.8018,55959761,3961973980,4.96E+11,4.91E+11,1.78,2.5944,-0.5541
2021/7/6,'000333,美的集团,68.61,69.35,66.81,67.66,68.2,0.5884,41063662,2802133749,4.84E+11,4.79E+11,0.41,0.6012,2.5944
2021/7/5,'000333,美的集团,68.2,70.37,66.78,70.28,71.1,1.1188,78081102,5309270148,4.81E+11,4.76E+11,-2.9,-4.0788,0.6012
2021/7/2,'000333,美的集团,71.1,72.75,70.66,72.63,73.24,0.5777,40318436,2873257073,5.01E+11,4.96E+11,-2.14,-2.9219,-4.0788
2021/7/1,'000333,美的集团,73.24,73.39,70.56,71.3,71.37,0.6397,44641783,3221962176,5.16E+11,5.11E+11,1.87,2.6201,-2.9219
2021/6/30,'000333,美的集团,71.37,71.9,70.85,71.1,71.46,0.4076,28444413,2022265552,5.03E+11,4.98E+11,-0.09,-0.1259,2.6201
2021/6/29,'000333,美的集团,71.46,73.8,71.24,73.78,73.21,0.5015,34979911,2518377824,5.04E+11,4.98E+11,-1.75,-2.3904,-0.1259
2021/6/28,'000333,美的集团,73.21,73.9,72.5,73.18,73.17,0.44,30684568,2240502744,5.16E+11,5.11E+11,0.04,0.0547,-2.3904
2021/6/25,'000333,美的集团,73.17,73.78,72.58,73.57,73.2,0.5916,41255201,3019079359,5.15E+11,5.10E+11,-0.03,-0.041,0.0547
2021/6/24,'000333,美的集团,73.2,74.5,72.71,74.5,73.17,0.4116,28702816,2103271901,5.16E+11,5.10E+11,0.03,0.041,-0.041
2021/6/23,'000333,美的集团,73.17,73.29,70.7,71.21,71.28,0.6225,43404358,3139531924,5.15E+11,5.10E+11,1.89,2.6515,0.041
2021/6/22,'000333,美的集团,71.28,72.88,70.88,71.9,72,0.5885,41034169,2942649258,5.02E+11,4.97E+11,-0.72,-1,2.6515
2021/6/21,'000333,美的集团,72,73.83,71.17,73.82,73.8,0.6846,47738643,3450150411,5.07E+11,5.02E+11,-1.8,-2.439,-1
2021/6/18,'000333,美的集团,73.8,74.21,72.16,73.33,73.46,0.5567,38817863,2831313013,5.20E+11,5.15E+11,0.34,0.4628,-2.439
2021/6/17,'000333,美的集团,73.46,75.33,73.3,75.2,75,0.4292,29929238,2214198276,5.18E+11,5.12E+11,-1.54,-2.0533,0.4628
2021/6/16,'000333,美的集团,75,75.26,73.2,73.9,73.24,0.6449,44970185,3359892667,5.28E+11,5.23E+11,1.76,2.4031,-2.0533
2021/6/15,'000333,美的集团,73.24,74.5,72,73.87,74,0.6395,44590030,3245305092,5.16E+11,5.11E+11,-0.76,-1.027,2.4031
2021/6/11,'000333,美的集团,74,75.6,73.51,75.4,75.4,0.6672,46521367,3444045478,5.21E+11,5.16E+11,-1.4,-1.8568,-1.027
2021/6/10,'000333,美的集团,75.4,75.94,74.9,75.7,75.59,0.46,32075563,2419455653,5.31E+11,5.26E+11,-0.19,-0.2514,-1.8568
2021/6/9,'000333,美的集团,75.59,76.62,75.2,76.27,76.02,0.3605,25138005,1900479894,5.33E+11,5.27E+11,-0.43,-0.5656,-0.2514
2021/6/8,'000333,美的集团,76.02,77.3,75.63,76.9,76.78,0.4602,32089344,2446270922,5.36E+11,5.30E+11,-0.76,-0.9898,-0.5656
2021/6/7,'000333,美的集团,76.78,77.77,76.15,77.75,77.73,0.3976,27727499,2124176470,5.41E+11,5.35E+11,-0.95,-1.2222,-0.9898
2021/6/4,'000333,美的集团,77.73,78.5,76.53,77.41,77.93,0.4059,28306603,2194930978,5.48E+11,5.42E+11,-0.2,-0.2566,-1.2222
