,日期,收盘价,最高价,最低价,开盘价,前收盘,换手率,成交量,成交金额,总市值,流通市值,涨跌额,涨跌幅,次日涨跌,预测涨跌
0,2021/8/5,69.9,71.61,69.09,69.45,69.99,0.6492,45338268,3201066026.0,493000000000.0,488000000000.0,-0.09,-0.1286,0,0
1,2021/8/4,69.99,71.68,69.73,70.4,70.92,0.6105,42636229,3000695827.0,494000000000.0,489000000000.0,-0.93,-1.3113,0,0
2,2021/8/3,70.92,72.26,65.18,65.5,66.08,1.2886,89992768,6224743064.0,500000000000.0,495000000000.0,4.84,7.3245,0,0
3,2021/8/2,66.08,66.66,62.58,63.5,63.51,0.7796,54445260,3553099532.0,466000000000.0,461000000000.0,2.57,4.0466,1,1
4,2021/7/30,63.51,64.08,61.96,63.09,63.3,0.6011,41977874,2648623981.0,448000000000.0,444000000000.0,0.21,0.3318,1,0
5,2021/7/29,63.3,64.5,62.63,64.5,63.28,0.5623,39271265,2485962571.0,446000000000.0,442000000000.0,0.02,0.0316,1,0
6,2021/7/28,63.28,63.8,61.11,61.4,61.4,0.6842,47782907,2994650504.0,446000000000.0,442000000000.0,1.88,3.0619,1,1
7,2021/7/27,61.4,64.98,61.4,64.67,64.68,0.8859,61869875,3893777294.0,433000000000.0,429000000000.0,-3.28,-5.0711,1,1
8,2021/7/26,64.68,66.07,63.87,65.58,66.96,0.8164,57012881,3709400702.0,456000000000.0,452000000000.0,-2.28,-3.405,0,0
9,2021/7/23,66.96,68.88,66.51,68.3,68.3,0.6079,42451336,2851914804.0,472000000000.0,468000000000.0,-1.34,-1.9619,0,1
10,2021/7/22,68.3,69.89,66.98,67.99,67.99,0.6141,42883759,2952043816.0,482000000000.0,477000000000.0,0.31,0.4559,0,0
11,2021/7/21,67.99,69.92,67.81,69.72,69.61,0.7377,51518657,3525935837.0,479000000000.0,475000000000.0,-1.62,-2.3273,1,1
12,2021/7/20,69.61,70.22,69.01,69.66,70.14,0.3307,23094780,1603201066.0,491000000000.0,486000000000.0,-0.53,-0.7556,0,1
13,2021/7/19,70.14,70.3,68.6,69.79,69.7,0.438,30561168,2124892125.0,495000000000.0,489000000000.0,0.44,0.6313,0,0
14,2021/7/16,69.7,71.3,68.8,71.3,71.17,0.654,45691025,3180537684.0,491000000000.0,487000000000.0,-1.47,-2.0655,1,1
15,2021/7/15,71.17,72.35,70.61,72.0,72.0,0.4576,31970243,2276242686.0,502000000000.0,497000000000.0,-0.83,-1.1528,0,0
16,2021/7/14,72.0,72.8,71.56,72.45,72.8,0.4782,33405515,2405155835.0,508000000000.0,503000000000.0,-0.8,-1.0989,0,1
17,2021/7/13,72.8,73.33,70.58,70.78,70.7,0.6793,47453241,3430086441.0,513000000000.0,509000000000.0,2.1,2.9703,0,1
18,2021/7/12,70.7,71.5,68.92,69.64,69.2,0.5802,40495549,2860148826.0,498000000000.0,493000000000.0,1.5,2.1676,1,1
19,2021/7/9,69.2,70.58,68.71,69.55,70.0,0.4167,29079830,2016604915.0,488000000000.0,483000000000.0,-0.8,-1.1429,1,1
20,2021/7/8,70.0,70.79,68.86,70.0,70.39,0.5155,35977037,2508845301.0,493000000000.0,489000000000.0,-0.39,-0.5541,0,0
21,2021/7/7,70.39,71.95,68.61,68.95,68.61,0.8018,55959761,3961973980.0,496000000000.0,491000000000.0,1.78,2.5944,0,1
22,2021/7/6,68.61,69.35,66.81,67.66,68.2,0.5884,41063662,2802133749.0,484000000000.0,479000000000.0,0.41,0.6012,1,0
23,2021/7/5,68.2,70.37,66.78,70.28,71.1,1.1188,78081102,5309270148.0,481000000000.0,476000000000.0,-2.9,-4.0788,1,1
24,2021/7/2,71.1,72.75,70.66,72.63,73.24,0.5777,40318436,2873257073.0,501000000000.0,496000000000.0,-2.14,-2.9219,0,0
25,2021/7/1,73.24,73.39,70.56,71.3,71.37,0.6397,44641783,3221962176.0,516000000000.0,511000000000.0,1.87,2.6201,0,1
26,2021/6/30,71.37,71.9,70.85,71.1,71.46,0.4076,28444413,2022265552.0,503000000000.0,498000000000.0,-0.09,-0.1259,1,0
27,2021/6/29,71.46,73.8,71.24,73.78,73.21,0.5015,34979911,2518377824.0,504000000000.0,498000000000.0,-1.75,-2.3904,0,0
28,2021/6/28,73.21,73.9,72.5,73.18,73.17,0.44,30684568,2240502744.0,516000000000.0,511000000000.0,0.04,0.0547,0,1
29,2021/6/25,73.17,73.78,72.58,73.57,73.2,0.5916,41255201,3019079359.0,515000000000.0,510000000000.0,-0.03,-0.041,1,0
30,2021/6/24,73.2,74.5,72.71,74.5,73.17,0.4116,28702816,2103271901.0,516000000000.0,510000000000.0,0.03,0.041,0,0
31,2021/6/23,73.17,73.29,70.7,71.21,71.28,0.6225,43404358,3139531924.0,515000000000.0,510000000000.0,1.89,2.6515,1,1
32,2021/6/22,71.28,72.88,70.88,71.9,72.0,0.5885,41034169,2942649258.0,502000000000.0,497000000000.0,-0.72,-1.0,1,0
33,2021/6/21,72.0,73.83,71.17,73.82,73.8,0.6846,47738643,3450150411.0,507000000000.0,502000000000.0,-1.8,-2.439,0,1
34,2021/6/18,73.8,74.21,72.16,73.33,73.46,0.5567,38817863,2831313013.0,520000000000.0,515000000000.0,0.34,0.4628,0,1
35,2021/6/17,73.46,75.33,73.3,75.2,75.0,0.4292,29929238,2214198276.0,518000000000.0,512000000000.0,-1.54,-2.0533,1,1
36,2021/6/16,75.0,75.26,73.2,73.9,73.24,0.6449,44970185,3359892667.0,528000000000.0,523000000000.0,1.76,2.4031,0,0
37,2021/6/15,73.24,74.5,72.0,73.87,74.0,0.6395,44590030,3245305092.0,516000000000.0,511000000000.0,-0.76,-1.027,1,0
38,2021/6/11,74.0,75.6,73.51,75.4,75.4,0.6672,46521367,3444045478.0,521000000000.0,516000000000.0,-1.4,-1.8568,0,1
39,2021/6/10,75.4,75.94,74.9,75.7,75.59,0.46,32075563,2419455653.0,531000000000.0,526000000000.0,-0.19,-0.2514,0,1
40,2021/6/9,75.59,76.62,75.2,76.27,76.02,0.3605,25138005,1900479894.0,533000000000.0,527000000000.0,-0.43,-0.5656,0,1
41,2021/6/8,76.02,77.3,75.63,76.9,76.78,0.4602,32089344,2446270922.0,536000000000.0,530000000000.0,-0.76,-0.9898,0,1
42,2021/6/7,76.78,77.77,76.15,77.75,77.73,0.3976,27727499,2124176470.0,541000000000.0,535000000000.0,-0.95,-1.2222,0,1
43,2021/6/4,77.73,78.5,76.53,77.41,77.93,0.4059,28306603,2194930978.0,548000000000.0,542000000000.0,-0.2,-0.2566,0,1
44,2021/6/3,77.93,79.84,77.48,79.5,79.5,0.5976,41669046,3262957927.0,549000000000.0,543000000000.0,-1.57,-1.9748,0,1
45,2021/6/2,79.5,79.5,78.5,79.4,78.6,0.4917,34284654,2706286215.0,560000000000.0,554000000000.0,0.9,1.145,0,1
46,2021/6/1,80.17,80.91,79.32,80.91,81.0,0.6789,47337082,3776569524.0,565000000000.0,559000000000.0,-0.83,-1.0247,1,1
47,2021/5/31,81.0,82.7,79.74,82.7,82.53,0.7515,52395101,4208270644.0,571000000000.0,565000000000.0,-1.53,-1.8539,0,1
48,2021/5/28,82.53,83.29,82.0,83.28,83.9,0.5556,38741514,3196831619.0,581000000000.0,575000000000.0,-1.37,-1.6329,0,1
