equity,depression,health,class,weight_jin,family_status,class_10_after,inc_exp,floor_area,inc_ability,family_m,family_income,public_service_7,birth,social_neighbor,neighbor_familiarity,view,public_service_6,public_service_3,leisure_8,income,height_cm,public_service_4,house,relax,media_3,leisure_9,public_service_1,status_3_before,public_service_2,s_income,class_14,edu,media_4,f_work_14,public_service_9,status_peer,public_service_8,class_10_before,trust_2,public_service_5,trust_1,gender,s_edu,leisure_1,m_birth,leisure_6,social_friend,marital,socialize,trust_9,trust_5,m_work_14,trust_6,trust_13,nationality
3,5,3.0,3,155,2.0,3.0,50000.0,45.0,3.0,2.0,60000.0,50.0,50,3.0,4.0,4.0,30.0,50.0,1.0,20000.0,176,50.0,1.0,4.0,5.0,4.0,50.0,2.0,60.0,40000.0,1.0,11.0,5.0,1.0,50.0,3.0,50.0,3.0,2.0,30.0,4.0,1,6.0,1.0,1944.0,3.0,3.0,3,2.0,4.0,5.0,1.0,3.0,1.0,1.0
3,3,5.0,6,110,4.0,8.0,50000.0,110.0,2.0,3.0,40000.0,90.0,20,6.0,3.0,4.0,70.0,70.0,2.0,20000.0,170,80.0,1.0,4.0,1.0,3.0,90.0,1.0,70.0,31069.0,5.0,12.0,3.0,2.0,60.0,1.0,60.0,4.0,4.0,85.0,5.0,1,5.0,2.0,1973.0,4.0,2.0,1,2.0,2.0,5.0,2.0,3.0,2.0,1.0
4,5,4.0,5,122,3.0,6.0,80000.0,120.0,2.0,3.0,8000.0,90.0,40,2.0,4.0,4.0,90.0,75.0,2.0,2000.0,160,79.0,1.0,4.0,2.0,3.0,90.0,1.0,80.0,6000.0,3.0,4.0,5.0,2.0,75.0,2.0,90.0,4.0,3.0,80.0,3.0,2,3.0,1.0,1944.0,4.0,5.0,3,3.0,3.0,4.0,2.0,3.0,1.0,1.0
4,4,4.0,5,170,3.0,7.0,10000.0,78.0,2.0,3.0,12000.0,90.0,70,1.0,3.0,3.0,90.0,70.0,1.0,6420.0,163,80.0,1.0,4.0,1.0,1.0,100.0,1.0,90.0,31069.0,2.0,3.0,5.0,2.0,80.0,2.0,80.0,5.0,3.0,80.0,3.0,2,5.0,1.0,1944.0,4.0,6.0,7,2.0,4.0,5.0,2.0,3.0,2.0,1.0
2,3,5.0,1,110,3.0,1.0,200000.0,70.0,2.0,4.0,74276.0,50.0,20,7.0,2.0,3.0,50.0,50.0,5.0,35405.0,165,50.0,1.0,3.0,4.0,2.0,50.0,2.0,50.0,31069.0,4.0,12.0,2.0,10.0,50.0,3.0,50.0,1.0,3.0,50.0,4.0,2,5.0,3.0,1972.0,4.0,5.0,1,4.0,3.0,5.0,15.0,5.0,2.0,1.0
4,4,5.0,8,140,3.0,8.0,10000.0,300.0,3.0,2.0,5000.0,80.0,60,3.0,4.0,4.0,90.0,90.0,4.0,5000.0,172,90.0,1.0,3.0,4.0,3.0,90.0,1.0,90.0,0.0,1.0,2.0,4.0,2.0,90.0,3.0,90.0,1.0,3.0,90.0,4.0,1,1.0,1.0,1917.0,4.0,4.0,3,3.0,4.0,5.0,2.0,4.0,3.0,1.0
4,2,2.0,2,120,2.0,3.0,50000.0,89.0,3.0,3.0,74276.0,60.0,50,3.0,4.0,4.0,50.0,50.0,4.0,35405.0,160,70.0,1.0,3.0,2.0,4.0,80.0,2.0,80.0,31069.0,2.0,4.0,5.0,1.0,80.0,3.0,80.0,2.0,3.0,60.0,4.0,1,4.0,1.0,1905.0,4.0,4.0,3,1.0,4.0,4.0,15.0,3.0,3.0,1.0
4,5,3.0,2,140,3.0,2.0,268194.0,130.0,2.0,2.0,74276.0,80.0,50,4.0,4.0,4.0,70.0,70.0,5.0,35405.0,176,70.0,1.0,3.0,3.0,4.0,70.0,2.0,70.0,31069.0,1.0,4.0,4.0,2.0,70.0,2.0,70.0,1.0,5.0,70.0,5.0,1,4.0,1.0,1944.0,4.0,3.0,3,3.0,5.0,5.0,4.0,5.0,5.0,1.0
4,2,2.0,3,95,2.0,5.0,5000.0,36.0,3.0,1.0,1600.0,86.0,60,5.0,5.0,3.0,85.0,60.0,5.0,1600.0,175,82.0,1.0,2.0,1.0,4.0,82.0,2.0,70.0,31069.0,2.0,3.0,3.0,2.0,85.0,3.0,87.0,3.0,2.0,84.0,3.0,1,5.0,2.0,1926.0,4.0,6.0,1,2.0,4.0,5.0,2.0,5.0,2.0,1.0
4,4,4.0,5,140,3.0,6.0,120000.0,80.0,2.0,5.0,60000.0,60.0,30,5.0,5.0,3.0,60.0,60.0,5.0,60000.0,172,60.0,1.0,3.0,1.0,5.0,60.0,2.0,60.0,0.0,3.0,3.0,4.0,2.0,60.0,2.0,60.0,5.0,3.0,60.0,4.0,1,7.0,1.0,1962.0,3.0,5.0,3,3.0,3.0,3.0,2.0,3.0,2.0,1.0
