日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,换手率,成交量,成交金额,总市值,流通市值,涨跌额,涨跌幅,次日涨跌
2021/8/5,'002240,盛新锂能,42.38,42.82,40.14,41.06,42.91,7.1907,50074714,2081006127,36629243993,29512496123,-0.53,-1.2351,
2021/8/4,'002240,盛新锂能,42.91,43.39,40.18,40.62,39.94,9.2611,64492318,2693173328,37087325619,29881576419,2.97,7.4362,-1.2351
2021/8/3,'002240,盛新锂能,39.94,43.24,39.94,43,44.38,9.1361,63621551,2616777344,34520339903,27813334005,-4.44,-10.0045,7.4362
2021/8/2,'002240,盛新锂能,44.38,49.73,43.47,49,48.3,13.8937,96752489,4423090987,38357853903,30905251957,-3.92,-8.1159,-10.0045
2021/7/30,'002240,盛新锂能,48.3,51.89,45.7,47.56,48.08,9.8992,68936086,3320109858,36210947501,33635053391,0.22,0.4576,-8.1159
2021/7/29,'002240,盛新锂能,48.08,49.98,46.61,48.5,46.56,7.7063,53665277,2607216681,36046011509,33481850249,1.52,3.2646,0.4576
2021/7/28,'002240,盛新锂能,46.56,48.18,43.2,45.54,46.15,6.5286,45464036,2112773890,34906453741,32423355816,0.41,0.8884,3.2646
2021/7/27,'002240,盛新锂能,46.15,53.13,45,49.1,49.53,8.0903,56339044,2768295458,34599073027,32137840870,-3.38,-6.8241,0.8884
2021/7/26,'002240,盛新锂能,49.53,50.66,47.3,49.01,49.4,5.3599,37325427,1834160398,37133089643,34491598229,0.13,0.2632,-6.8241
2021/7/23,'002240,盛新锂能,49.4,52.7,47.92,50,51.2,6.9568,48445782,2429678862,37035627465,34401069100,-1.8,-3.5156,0.2632
2021/7/22,'002240,盛新锂能,51.2,52.98,49.84,50.25,49.5,9.2345,64307156,3284071393,38385103770,35654549350,1.7,3.4343,-3.5156
2021/7/21,'002240,盛新锂能,49.5,49.5,45.72,45.88,45,8.1687,56884752,2749900691,37110598371,34470706892,4.5,10,3.4343
2021/7/20,'002240,盛新锂能,45,45.3,42.3,43.52,44.73,6.8049,47387932,2084419370,33736907610,31337006265,0.27,0.6036,10
2021/7/19,'002240,盛新锂能,44.73,48.88,44.29,45.5,46.6,7.5925,52872533,2447698629,33534486164,31148984227,-1.87,-4.0129,0.6036
2021/7/16,'002240,盛新锂能,46.6,48.86,43.2,43.91,45.45,9.3749,65284684,3036815790,34936442103,32451210932,1.15,2.5303,-4.0129
2021/7/15,'002240,盛新锂能,45.45,47.36,41.5,45.23,45,12.2408,85242186,3779452490,34074276686,31650376328,0.45,1,2.5303
2021/7/14,'002240,盛新锂能,45,47.39,43,45.92,46.65,10.506,73161670,3299274070,33736907610,31337006265,-1.65,-3.537,1
2021/7/13,'002240,盛新锂能,46.65,46.65,43.28,44.66,42.41,13.4909,93947328,4250258573,34973927556,32486029828,4.24,9.9976,-3.537
2021/7/12,'002240,盛新锂能,42.41,42.41,41.18,41.19,38.55,7.2559,50528725,2128925737,31795161150,29533387460,3.86,10.013,9.9976
2021/7/9,'002240,盛新锂能,38.55,39.42,35.5,36.32,36.32,9.7311,67765094,2567947492,28901284186,26845368700,2.23,6.1399,10.013
