�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉,梀視塗,梀視盟,棒�桽З�
2021/8/5,'600660,腦珓產薛,53.99,54.78,52.57,53.58,53.8,1.0987,22006178,1185950371,1.41E+11,1.08E+11,0.19,0.3532,
2021/8/4,'600660,腦珓產薛,53.8,54.45,51.8,51.8,51.75,1.4386,28814763,1545699143,1.40E+11,1.08E+11,2.05,3.9614,0.3532
2021/8/3,'600660,腦珓產薛,51.75,52,49.57,50.73,50.73,1.3983,28007136,1425303353,1.35E+11,1.04E+11,1.02,2.0106,3.9614
2021/8/2,'600660,腦珓產薛,50.73,51,48.1,48.18,48.3,1.5259,30563386,1524539747,1.32E+11,1.02E+11,2.43,5.0311,2.0106
2021/7/30,'600660,腦珓產薛,48.3,49.9,48.18,49.9,49.97,0.7607,15236576,740664480,1.26E+11,96744239836,-1.67,-3.342,5.0311
2021/7/29,'600660,腦珓產薛,49.97,50.25,47.8,47.8,47.46,1.6388,32824693,1617106529,1.30E+11,1.00E+11,2.51,5.2887,-3.342
2021/7/28,'600660,腦珓產薛,47.46,47.95,44.7,44.7,46.12,1.5798,31643901,1467837469,1.24E+11,95061731317,1.34,2.9055,5.2887
2021/7/27,'600660,腦珓產薛,46.12,48.54,46,48.1,48.01,1.23,24636773,1161837296,1.20E+11,92377729632,-1.89,-3.9367,2.9055
2021/7/26,'600660,腦珓產薛,48.01,49.2,46,49.19,49.18,1.1767,23568538,1128391702,1.25E+11,96163373799,-1.17,-2.379,-3.9367
2021/7/23,'600660,腦珓產薛,49.18,51.15,48.58,51.13,50.71,1.6642,33333385,1651947824,1.28E+11,98506867808,-1.53,-3.0172,-2.379
2021/7/22,'600660,腦珓產薛,50.71,52,50.2,51.99,51.64,1.2435,24907088,1264799292,1.32E+11,1.02E+11,-0.93,-1.8009,-3.0172
2021/7/21,'600660,腦珓產薛,51.64,52.19,50.95,51.33,51.2,1.1273,22578840,1161547993,1.35E+11,1.03E+11,0.44,0.8594,-1.8009
2021/7/20,'600660,腦珓產薛,51.2,51.86,50.67,51.5,51.5,0.5939,11895201,608563161,1.34E+11,1.03E+11,-0.3,-0.5825,0.8594
2021/7/19,'600660,腦珓產薛,51.5,52.32,51.09,52.11,51.7,0.6364,12747947,657161907,1.34E+11,1.03E+11,-0.2,-0.3868,-0.5825
2021/7/16,'600660,腦珓產薛,51.7,52.52,50.03,51.29,51.02,1.0296,20622772,1065559995,1.35E+11,1.04E+11,0.68,1.3328,-0.3868
2021/7/15,'600660,腦珓產薛,51.02,51.69,49.88,51.31,51.06,1.1433,22900882,1161811096,1.33E+11,1.02E+11,-0.04,-0.0783,1.3328
2021/7/14,'600660,腦珓產薛,51.06,54.19,51,54.19,53.95,1.9783,39624357,2045220398,1.33E+11,1.02E+11,-2.89,-5.3568,-0.0783
2021/7/13,'600660,腦珓產薛,53.95,55.42,53.71,55.1,54.5,0.9401,18830677,1023472991,1.41E+11,1.08E+11,-0.55,-1.0092,-5.3568
2021/7/12,'600660,腦珓產薛,54.5,55,52.7,53.88,53.95,1.2369,24775351,1347601741,1.42E+11,1.09E+11,0.55,1.0195,-1.0092
2021/7/9,'600660,腦珓產薛,53.95,54,49.67,53.09,53.64,1.5383,30812025,1601031770,1.41E+11,1.08E+11,0.31,0.5779,1.0195
2021/7/8,'600660,腦珓產薛,53.64,55.14,53.36,54.6,54.94,0.9103,18232646,981799677,1.40E+11,1.07E+11,-1.3,-2.3662,0.5779
2021/7/7,'600660,腦珓產薛,54.94,55.24,51.86,52.64,52.64,1.1458,22950591,1247374637,1.43E+11,1.10E+11,2.3,4.3693,-2.3662
2021/7/6,'600660,腦珓產薛,52.64,53.6,52,52.79,53,0.9122,18271133,963617392,1.37E+11,1.05E+11,-0.36,-0.6792,4.3693
2021/7/5,'600660,腦珓產薛,53,54.41,52.54,54.4,54.4,1.1634,23302416,1236844607,1.38E+11,1.06E+11,-1.4,-2.5735,-0.6792
2021/7/2,'600660,腦珓產薛,54.4,54.83,53.66,54.5,54.25,0.8136,16296342,886991944,1.42E+11,1.09E+11,0.15,0.2765,-2.5735
